时间, CPU使用率, 内存使用率
2026-02-27 13:41:24, 2.76%, 93.09%
2026-02-27 13:41:25, 2.51%, 93.09%
2026-02-27 13:41:26, 3.55%, 93.09%
2026-02-27 13:41:27, 2.53%, 93.09%
2026-02-27 13:41:28, 3.27%, 93.09%
2026-02-27 13:41:29, 2.27%, 93.10%
2026-02-27 13:41:30, 2.27%, 93.10%
2026-02-27 13:41:31, 2.76%, 93.10%
2026-02-27 13:41:32, 2.01%, 93.10%
2026-02-27 13:41:33, 2.27%, 93.10%
2026-02-27 13:41:34, 2.76%, 93.10%
2026-02-27 13:41:35, 2.02%, 93.11%
2026-02-27 13:41:36, 2.02%, 93.11%
2026-02-27 13:41:37, 2.77%, 93.11%
2026-02-27 13:41:38, 2.02%, 93.11%
2026-02-27 13:41:39, 2.76%, 93.11%
2026-02-27 13:41:40, 13.64%, 93.12%
2026-02-27 13:41:41, 2.75%, 93.12%
2026-02-27 13:41:42, 2.77%, 93.12%
2026-02-27 13:41:43, 3.02%, 93.12%
2026-02-27 13:41:44, 1.77%, 93.12%
2026-02-27 13:41:45, 2.77%, 93.12%
2026-02-27 13:41:46, 3.02%, 93.13%
2026-02-27 13:41:47, 2.26%, 93.13%
2026-02-27 13:41:48, 2.52%, 93.13%
2026-02-27 13:41:49, 2.78%, 93.13%
2026-02-27 13:41:50, 2.02%, 93.13%
2026-02-27 13:41:51, 2.51%, 93.13%
2026-02-27 13:41:52, 2.76%, 93.13%
2026-02-27 13:41:53, 2.78%, 93.13%
2026-02-27 13:41:54, 3.26%, 93.13%
2026-02-27 13:41:55, 2.77%, 93.13%
2026-02-27 13:41:56, 2.53%, 93.13%
2026-02-27 13:41:57, 3.00%, 93.14%
2026-02-27 13:41:58, 2.78%, 93.12%
2026-02-27 13:41:59, 2.77%, 93.13%
2026-02-27 13:42:00, 2.52%, 93.13%
2026-02-27 13:42:01, 2.26%, 93.13%
2026-02-27 13:42:02, 2.51%, 93.07%
2026-02-27 13:42:03, 2.02%, 93.08%
2026-02-27 13:42:04, 2.26%, 93.09%
